model,n_users,hr@5,p@5,r@5,ndcg@5,hr@10,p@10,r@10,ndcg@10,hr@20,p@20,r@20,ndcg@20
cb1_weighted,62411,0.009213119482142571,0.002082966143788755,0.0008069661068344499,0.002097359931784378,0.01695213984714233,0.002108602650173848,0.00163139535854843,0.002266691473919082,0.028712887151303455,0.0020781592988415505,0.00320392810872977,0.0027995432041304086
cb1_mean_centering,62411,0.10874685552226371,0.026107577189918445,0.011057749559452388,0.028175711819773394,0.1676787745749948,0.02245277274839371,0.018690563455053124,0.026947091812889297,0.24439601993238372,0.01867138805659259,0.030795448301040567,0.029527631910733657
cb2_weighted,62411,0.016279181554533655,0.0033327458300620085,0.0014920989010055862,0.003350231830645264,0.0337760971623592,0.003547451571037157,0.0030814519757671036,0.0038294929402171046,0.06636650590440787,0.003670827258015414,0.00628442445407349,0.005052015046376825
cb2_mean_centering,62411,0.02123023185015462,0.004399865408341479,0.0017723314439952098,0.0045402017528470544,0.04052170290493663,0.0044190927881302975,0.003521914024319087,0.004848023515060722,0.07255131306981141,0.00419477335726074,0.006627972538157013,0.005824508663170054
cb3_weighted,62411,0.012049158000993414,0.0027334924933104746,0.0012153423131225287,0.00266195341902459,0.02509173062440916,0.0030875967377545625,0.0027119109089171517,0.0031997762965412244,0.053612343977824425,0.003531428754546475,0.0064369844502217746,0.004730901336512544
cb3_mean_centering,62411,0.09703417666757462,0.022742785726875072,0.009437983901185604,0.02478834877312386,0.14785855057602026,0.019172902212750958,0.015794063172405677,0.023314044061373267,0.2175097338610181,0.015883417987213794,0.02569505514203978,0.02523543676317693
cb4_weighted,62411,0.0046626395987886754,0.0009773918059316467,0.0004637237072010043,0.0010039193176214958,0.012369614330807069,0.0013747576549005785,0.0013856217758692023,0.0014102400992696818,0.03818237169729695,0.0022592171251862654,0.0047188758518493645,0.0029465637735780407
cb4_mean_centering,62411,0.13845315729598948,0.03385941580811075,0.014167290761804723,0.036515006277290506,0.20929002900129784,0.02893400201887488,0.02398975023232772,0.03475506194242396,0.29836086587300314,0.024067872650654534,0.039183674849028016,0.037864374880131446
cb5_weighted,62411,0.01711236801204916,0.003512201374757655,0.0013813962075576972,0.0037294439028199866,0.032862796622390285,0.0034144621941644905,0.002702179165382227,0.0038715034544367895,0.05992533367515342,0.003265450000801141,0.005105532276628752,0.004626027103864494
cb5_mean_centering,62411,0.01930749387127269,0.003992885869478137,0.0015007135134910924,0.0040829695359902995,0.03536235599493679,0.003741327650574418,0.0027353107564561407,0.004127501209369211,0.0652288859335694,0.003569883514124113,0.005369619878953886,0.004920291064873348
cb6_weighted,62411,0.011840861386614538,0.0024002179103042734,0.0010142421504013524,0.002324388887141541,0.02714265113521655,0.0027911746326769317,0.002184624249784183,0.002841061780542289,0.05391677749114739,0.002851260194516992,0.004337625754350812,0.0036692180992921753
cb6_mean_centering,62411,0.025716620467545786,0.005383666340869398,0.0022377222735063813,0.0056795680099360445,0.045520821650029644,0.004944641169024691,0.004028192275565709,0.005706599365549605,0.08001794555446956,0.0045232410953197355,0.00728533896536764,0.006649013918333057
cb7_weighted,62411,0.0057521911201551005,0.0012049158000993416,0.00038847091823931724,0.0012224858671623523,0.010783355498229478,0.0011680633221707712,0.0007424583003978664,0.0012521082933437439,0.01988431526493727,0.001126403999294996,0.001465397524354843,0.0014441411014151026
cb7_mean_centering,62411,0.021198186217173256,0.004595343769527809,0.0019172264493431395,0.00472816839694611,0.0378619153674833,0.004254057778276266,0.003504455803891082,0.0048547228305765786,0.06543718254794828,0.0037765778468539205,0.006102015215574501,0.00557070839302762
cb8_weighted,62411,0.012818253192546186,0.002611719087981285,0.0009614033829178583,0.0027985159865883276,0.019852269631955907,0.0020813638621396866,0.0015119587144847796,0.002533653521781797,0.030940058643508357,0.0017424812933617472,0.0024707648128141483,0.0026296865231614282
cb8_mean_centering,62411,0.08355898799891044,0.019012674047844128,0.008254794643286226,0.02036924961451348,0.13627405425325664,0.016928105622406306,0.01399025297523435,0.019977798896938598,0.2108121965679127,0.014657672525676563,0.023412981633166196,0.022362889865396314
cb9_weighted,62411,0.021951258592235342,0.004717117174856997,0.002083608728453428,0.004573394356278045,0.047764015958725224,0.005404496002307286,0.004852944692333187,0.005598785821899632,0.09586451106375479,0.0056985146849113134,0.010215746438668929,0.007736773370677987
cb9_mean_centering,62411,0.07400938937046354,0.016686161093397,0.0070064406643601486,0.01799199175178121,0.11893736681033792,0.014539103683645513,0.011881051789872836,0.01732610076630148,0.1841982983768887,0.012502603707679735,0.01975399463683175,0.01912970954420373
